ValueSize,PublisherNum,SubscribersNum,QoS,Latency_ms
1024,500,7,1,20
1024,500,7,1,13
1024,550,7,1,9
1024,550,7,1,12
1024,550,7,1,13
1024,550,7,1,20
1024,550,7,1,19
1024,600,7,1,17
1024,600,7,1,16
1024,600,7,1,16
1024,600,7,1,18
1024,600,7,1,14
1024,650,7,1,12
1024,650,7,1,6
1024,650,7,1,32
1024,650,7,1,24
1024,650,7,1,12
1024,700,7,1,14
1024,700,7,1,28
1024,700,7,1,19
1024,700,7,1,18
1024,700,7,1,26
1024,750,7,1,10
1024,750,7,1,10
1024,750,7,1,14
1024,750,7,1,24
1024,800,7,1,57
1024,800,7,1,16
1024,800,7,1,21
1024,800,7,1,13
1024,800,7,1,28
1024,850,7,1,11
1024,850,7,1,31
1024,850,7,1,15
1024,850,7,1,16
1024,850,7,1,36
1024,900,7,1,25
1024,900,7,1,18
1024,900,7,1,26
1024,900,7,1,18
1024,900,7,1,17
1024,950,7,1,19
1024,950,7,1,18
1024,950,7,1,17
1024,950,7,1,21
1024,950,7,1,16
1024,1000,7,1,20
1024,1000,7,1,26
1024,1000,7,1,21
1024,1000,7,1,36
1024,1000,7,1,21
1024,100,7,2,5
1024,100,7,2,5
1024,100,7,2,5
1024,100,7,2,5
1024,150,7,2,6
1024,150,7,2,7
1024,150,7,2,6
1024,150,7,2,8
1024,150,7,2,6
1024,200,7,2,8
1024,200,7,2,8
1024,200,7,2,7
1024,200,7,2,8
1024,200,7,2,7
1024,250,7,2,13
1024,250,7,2,8
1024,250,7,2,8
1024,250,7,2,11
1024,250,7,2,8
1024,300,7,2,10
1024,300,7,2,14
1024,300,7,2,14
1024,300,7,2,11
1024,300,7,2,10
1024,350,7,2,9
1024,350,7,2,12
1024,350,7,2,11
1024,350,7,2,10
1024,350,7,2,8
1024,400,7,2,15
1024,400,7,2,19
1024,400,7,2,18
1024,400,7,2,14
1024,400,7,2,9
1024,450,7,2,11
1024,450,7,2,23
1024,450,7,2,14
1024,450,7,2,18
1024,450,7,2,19
1024,500,7,2,9
1024,500,7,2,19
1024,500,7,2,16
1024,500,7,2,19
1024,550,7,2,12
1024,550,7,2,25
1024,550,7,2,15
1024,550,7,2,18
1024,550,7,2,19
1024,600,7,2,55
1024,600,7,2,15
1024,600,7,2,27
1024,600,7,2,13
1024,600,7,2,17
1024,650,7,2,57
1024,650,7,2,21
1024,650,7,2,22
1024,650,7,2,31
1024,650,7,2,78
1024,700,7,2,27
1024,700,7,2,16
1024,700,7,2,47
1024,700,7,2,19
1024,700,7,2,18
1024,750,7,2,39
1024,750,7,2,39
1024,750,7,2,28
1024,750,7,2,30
1024,750,7,2,40
1024,800,7,2,30
1024,800,7,2,42
1024,800,7,2,20
1024,800,7,2,22
1024,800,7,2,26
1024,850,7,2,33
1024,850,7,2,37
1024,850,7,2,50
1024,850,7,2,35
1024,900,7,2,50
1024,900,7,2,47
1024,900,7,2,49
1024,900,7,2,47
1024,900,7,2,42
1024,950,7,2,68
1024,950,7,2,83
1024,950,7,2,82
1024,950,7,2,37
1024,950,7,2,80
1024,1000,7,2,59
1024,1000,7,2,71
1024,1000,7,2,33
1024,1000,7,2,98
10240,100,7,0,2
10240,100,7,0,2
10240,100,7,0,2
10240,100,7,0,2
10240,100,7,0,2
10240,150,7,0,2
10240,150,7,0,2
10240,150,7,0,2
10240,150,7,0,2
10240,150,7,0,2
10240,200,7,0,2
10240,200,7,0,2
10240,200,7,0,2
10240,200,7,0,3
10240,200,7,0,2
10240,250,7,0,2
10240,250,7,0,2
10240,250,7,0,2
10240,250,7,0,2
10240,250,7,0,2
10240,300,7,0,2
10240,300,7,0,2
10240,300,7,0,3
10240,300,7,0,2
10240,300,7,0,2
10240,350,7,0,3
10240,350,7,0,3
10240,350,7,0,2
10240,350,7,0,3
10240,350,7,0,3
10240,400,7,0,3
10240,400,7,0,4
10240,400,7,0,3
10240,400,7,0,3
10240,400,7,0,3
10240,450,7,0,4
10240,450,7,0,3
10240,450,7,0,3
10240,450,7,0,3
10240,450,7,0,3
10240,500,7,0,4
10240,500,7,0,3
10240,500,7,0,4
10240,500,7,0,3
10240,550,7,0,4
10240,550,7,0,4
10240,550,7,0,4
10240,550,7,0,5
10240,550,7,0,3
10240,600,7,0,5
10240,600,7,0,4
10240,600,7,0,4
10240,600,7,0,4
10240,600,7,0,4
10240,650,7,0,5
10240,650,7,0,4
10240,650,7,0,5
10240,650,7,0,4
10240,650,7,0,4
10240,700,7,0,5
10240,700,7,0,5
10240,700,7,0,4
10240,700,7,0,4
10240,700,7,0,4
10240,750,7,0,5
10240,750,7,0,4
10240,750,7,0,5
10240,750,7,0,5
10240,750,7,0,5
10240,800,7,0,5
10240,800,7,0,4
10240,800,7,0,5
10240,800,7,0,5
10240,800,7,0,5
10240,850,7,0,5
10240,850,7,0,5
10240,850,7,0,5
10240,850,7,0,5
10240,850,7,0,5
10240,900,7,0,6
10240,900,7,0,5
10240,900,7,0,6
10240,900,7,0,6
10240,950,7,0,6
10240,950,7,0,7
10240,950,7,0,6
10240,950,7,0,6
10240,950,7,0,6
10240,1000,7,0,6
10240,1000,7,0,7
10240,1000,7,0,6
10240,1000,7,0,5
10240,1000,7,0,8
10240,100,7,1,2
10240,100,7,1,2
10240,100,7,1,2
10240,100,7,1,2
10240,100,7,1,2
10240,150,7,1,2
10240,150,7,1,2
10240,150,7,1,2
10240,150,7,1,2
10240,150,7,1,2
10240,200,7,1,2
10240,200,7,1,2
10240,200,7,1,2
10240,200,7,1,2
10240,200,7,1,3
10240,250,7,1,3
10240,250,7,1,3
10240,250,7,1,3
10240,250,7,1,3
10240,250,7,1,2
10240,300,7,1,3
10240,300,7,1,3
10240,300,7,1,3
10240,300,7,1,2
10240,300,7,1,2
10240,350,7,1,3
10240,350,7,1,3
10240,350,7,1,3
10240,350,7,1,3
10240,350,7,1,3
10240,400,7,1,3
10240,400,7,1,4
10240,400,7,1,3
10240,400,7,1,4
10240,400,7,1,3
10240,450,7,1,4
10240,450,7,1,3
10240,450,7,1,4
10240,450,7,1,3
10240,450,7,1,4
10240,500,7,1,3
10240,500,7,1,4
10240,500,7,1,3
10240,500,7,1,4
10240,500,7,1,3
10240,550,7,1,4
10240,550,7,1,3
10240,550,7,1,5
10240,550,7,1,4
10240,550,7,1,5
10240,600,7,1,4
10240,600,7,1,4
10240,600,7,1,4
10240,600,7,1,4
10240,600,7,1,4
10240,650,7,1,4
10240,650,7,1,4
10240,650,7,1,4
10240,650,7,1,4
10240,650,7,1,5
10240,700,7,1,5
10240,700,7,1,4
10240,700,7,1,5
10240,700,7,1,4
10240,700,7,1,4
10240,750,7,1,5
10240,750,7,1,5
10240,750,7,1,5
10240,750,7,1,5
10240,750,7,1,5
10240,800,7,1,5
10240,800,7,1,5
10240,800,7,1,8
10240,800,7,1,5
10240,850,7,1,5
10240,850,7,1,6
10240,850,7,1,5
10240,850,7,1,5
10240,900,7,1,5
10240,900,7,1,5
10240,900,7,1,5
10240,900,7,1,6
10240,950,7,1,5
10240,950,7,1,5
10240,950,7,1,5
10240,950,7,1,6
10240,950,7,1,5
10240,1000,7,1,6
10240,1000,7,1,6
10240,1000,7,1,5
10240,1000,7,1,5
10240,1000,7,1,6
10240,100,7,2,2
10240,100,7,2,2
10240,100,7,2,2
10240,100,7,2,2
10240,100,7,2,2
10240,150,7,2,2
10240,150,7,2,3
10240,150,7,2,2
10240,150,7,2,2
10240,150,7,2,2
10240,200,7,2,3
10240,200,7,2,3
10240,200,7,2,3
10240,200,7,2,3
10240,200,7,2,2
10240,250,7,2,3
10240,250,7,2,3
10240,250,7,2,3
10240,250,7,2,3
10240,250,7,2,2
10240,300,7,2,3
10240,300,7,2,3
10240,300,7,2,3
10240,300,7,2,3
10240,300,7,2,3
10240,350,7,2,3
10240,350,7,2,3
10240,350,7,2,3
10240,350,7,2,3
10240,350,7,2,3
10240,400,7,2,4
10240,400,7,2,3
10240,400,7,2,3
10240,400,7,2,3
10240,400,7,2,4
10240,450,7,2,3
10240,450,7,2,4
10240,450,7,2,3
10240,450,7,2,3
10240,450,7,2,3
10240,500,7,2,4
10240,500,7,2,4
10240,500,7,2,4
10240,500,7,2,4
10240,500,7,2,5
10240,550,7,2,4
10240,550,7,2,4
10240,550,7,2,4
10240,550,7,2,3
10240,550,7,2,5
10240,600,7,2,4
10240,600,7,2,4
10240,600,7,2,4
10240,600,7,2,4
10240,600,7,2,4
10240,650,7,2,4
10240,650,7,2,5
10240,650,7,2,4
10240,650,7,2,4
10240,650,7,2,4
10240,700,7,2,4
10240,700,7,2,4
10240,700,7,2,4
10240,700,7,2,4
10240,700,7,2,5
10240,750,7,2,4
10240,750,7,2,4
10240,750,7,2,5
10240,750,7,2,4
10240,750,7,2,4
10240,800,7,2,4
10240,800,7,2,5
10240,800,7,2,6
10240,800,7,2,5
10240,800,7,2,5
10240,850,7,2,6
10240,850,7,2,6
10240,850,7,2,5
10240,850,7,2,4
10240,850,7,2,5
10240,900,7,2,5
10240,900,7,2,5
10240,900,7,2,5
10240,900,7,2,4
10240,900,7,2,5
10240,950,7,2,5
10240,950,7,2,5
10240,950,7,2,5
10240,950,7,2,5
10240,950,7,2,5
10240,1000,7,2,6
10240,1000,7,2,5
10240,1000,7,2,5
10240,1000,7,2,5
10240,1000,7,2,4
