ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
1400, 18360.723469, 169.217424, 16, 0.5
1400, 22465.842467, 153.462778, 16, 0.5
1400, 21173.924287, 150.813828, 16, 0.5
1400, 28422.090301, 76.493557, 16, 0.5
1500, 23464.884932, 123.938602, 16, 0.5
1500, 23832.262966, 102.657395, 16, 0.5
1500, 18646.641422, 178.001306, 16, 0.5
1500, 23935.909229, 115.02583, 16, 0.5
1500, 24812.509298, 104.992008, 16, 0.5
1600, 26399.313149, 107.083246, 16, 0.5
1600, 21257.796164, 142.178568, 16, 0.5
1600, 20841.634817, 197.034744, 16, 0.5
1600, 23081.283167, 128.573955, 16, 0.5
1600, 23996.579604, 129.354571, 16, 0.5
1700, 24382.313169, 129.361144, 16, 0.5
1700, 25388.561976, 123.804879, 16, 0.5
1700, 22224.989925, 125.847129, 16, 0.5
1700, 24169.978935, 117.617106, 16, 0.5
1700, 26166.799847, 142.615277, 16, 0.5
1800, 25577.250080, 93.144305, 16, 0.5
1800, 24159.387461, 160.506154, 16, 0.5
1800, 23421.713052, 151.658646, 16, 0.5
1800, 20447.096749, 184.753111, 16, 0.5
1800, 20824.174558, 181.28532, 16, 0.5
1900, 20203.036231, 188.117917, 16, 0.5
1900, 21916.436118, 195.260429, 16, 0.5
1900, 2329.732702, 3338.70203, 16, 0.5
1900, 23802.346722, 145.090452, 16, 0.5
1900, 26596.060580, 130.936186, 16, 0.5
2000, 25044.277531, 158.030921, 16, 0.5
2000, 21779.356433, 178.655421, 16, 0.5
2000, 26409.299242, 114.303598, 16, 0.5
2000, 22243.768476, 165.321487, 16, 0.5
2000, 24320.887849, 172.044521, 16, 0.5
2100, 22121.129203, 189.642519, 16, 0.5
2100, 21886.106679, 154.007715, 16, 0.5
2100, 23346.560841, 155.804327, 16, 0.5
2100, 23905.753918, 156.914692, 16, 0.5
2100, 23205.964035, 162.784286, 16, 0.5
2200, 25174.164816, 145.554947, 16, 0.5
2200, 25529.420376, 115.299772, 16, 0.5
2200, 23751.145868, 129.367822, 16, 0.5
2200, 21737.493791, 179.196774, 16, 0.5
2200, 24139.213334, 148.545459, 16, 0.5
2300, 23910.863629, 161.927951, 16, 0.5
2300, 23559.194300, 178.556795, 16, 0.5
2300, 20071.343671, 190.099513, 16, 0.5
2300, 17808.565384, 223.183179, 16, 0.5
2300, 26079.818589, 123.528833, 16, 0.5
2400, 21377.116038, 190.056869, 16, 0.5
2400, 18628.080852, 234.054114, 16, 0.5
2400, 22510.872335, 215.721753, 16, 0.5
2400, 23823.940867, 153.209715, 16, 0.5
2400, 25608.439099, 175.816046, 16, 0.5
2500, 24415.497626, 177.790228, 16, 0.5
2500, 23348.704167, 178.672026, 16, 0.5
2500, 20188.505282, 224.47823, 16, 0.5
2500, 22927.733129, 194.541763, 16, 0.5
2500, 18526.202604, 246.629974, 16, 0.5
2600, 23580.575733, 187.64628, 16, 0.5
2600, 25552.908533, 148.320378, 16, 0.5
2600, 23531.953326, 180.688605, 16, 0.5
2600, 23064.315501, 191.404274, 16, 0.5
2600, 9555.537841, 771.637609, 16, 0.5
2700, 13539.042238, 350.832866, 16, 0.5
2700, 18660.110817, 242.546277, 16, 0.5
2700, 22334.490908, 192.108445, 16, 0.5
2700, 18795.783192, 274.772971, 16, 0.5
2700, 21030.580595, 213.082938, 16, 0.5
2800, 25301.949416, 174.649657, 16, 0.5
2800, 26107.489290, 149.52077, 16, 0.5
2800, 25968.272417, 176.662211, 16, 0.5
2800, 25790.100889, 180.379282, 16, 0.5
2800, 25287.596147, 160.604725, 16, 0.5
2900, 26252.398015, 158.833468, 16, 0.5
2900, 20497.990353, 193.750799, 16, 0.5
2900, 22431.375307, 193.080636, 16, 0.5
2900, 23401.797249, 198.205861, 16, 0.5
2900, 24004.698238, 195.63437, 16, 0.5
3000, 20683.760315, 246.83146, 16, 0.5
3000, 21413.992889, 227.553435, 16, 0.5
3000, 20020.748503, 233.576366, 16, 0.5
3000, 20355.050500, 245.238732, 16, 0.5
3000, 25774.107336, 190.508216, 16, 0.5
100, 3957.459299, 36.432453, 16, 0.95
100, 3961.841877, 37.025305, 16, 0.95
100, 3054.452556, 43.588233, 16, 0.95
100, 3709.169789, 36.075709, 16, 0.95
100, 3353.441385, 36.878748, 16, 0.95
200, 6173.912406, 43.850754, 16, 0.95
200, 5794.769302, 46.319953, 16, 0.95
200, 4704.527699, 53.666846, 16, 0.95
200, 5889.345708, 46.662393, 16, 0.95
200, 5908.272058, 47.380358, 16, 0.95
300, 7862.977545, 51.217566, 16, 0.95
300, 7482.441682, 56.455942, 16, 0.95
300, 6172.648550, 51.489521, 16, 0.95
300, 7146.498197, 59.008835, 16, 0.95
300, 7757.694470, 52.348227, 16, 0.95
400, 7066.359531, 63.357034, 16, 0.95
400, 6827.892672, 66.336281, 16, 0.95
400, 1510.640823, 93.93521, 16, 0.95
400, 7018.866618, 56.389679, 16, 0.95
400, 9109.282008, 59.00521, 16, 0.95
500, 10967.959112, 57.679437, 16, 0.95
500, 9517.752580, 54.940496, 16, 0.95
500, 10744.018108, 63.68808, 16, 0.95
500, 11793.264034, 52.06873, 16, 0.95
500, 11619.371454, 54.844991, 16, 0.95
600, 11424.030187, 67.182618, 16, 0.95
600, 10271.750204, 102.107767, 16, 0.95
600, 13093.492910, 60.549155, 16, 0.95
600, 13250.852308, 77.581871, 16, 0.95
600, 12191.879625, 80.315598, 16, 0.95
700, 13652.300196, 61.616616, 16, 0.95
700, 13685.553946, 66.610683, 16, 0.95
700, 14825.678501, 57.428648, 16, 0.95
700, 9717.297303, 93.741376, 16, 0.95
700, 9700.677373, 99.849935, 16, 0.95
800, 3679.441575, 106.469094, 16, 0.95
800, 15087.248092, 62.297861, 16, 0.95
800, 16839.762189, 63.836594, 16, 0.95
800, 17098.613961, 59.244276, 16, 0.95
800, 15485.783652, 67.348642, 16, 0.95
900, 5870.335308, 123.260568, 16, 0.95
900, 16892.057645, 83.197965, 16, 0.95
900, 17025.164593, 68.412098, 16, 0.95
900, 17236.467898, 74.30177, 16, 0.95
900, 13548.341282, 97.283036, 16, 0.95
1000, 18197.960666, 76.937326, 16, 0.95
1000, 19077.622370, 67.2863, 16, 0.95
1000, 2016.499573, 3302.602854, 16, 0.95
1000, 17354.448720, 83.686049, 16, 0.95
1000, 434.080996, 5075.991078, 16, 0.95
1100, 16693.158710, 91.242001, 16, 0.95
1100, 19093.077483, 77.834043, 16, 0.95
1100, 1546.195967, 2966.330001, 16, 0.95
1100, 1241.156703, 5073.447052, 16, 0.95
1100, 1552.209394, 5020.517482, 16, 0.95
1200, 12143.295875, 185.572417, 16, 0.95
1200, 1181.818971, 2507.94261, 16, 0.95
1200, 412.648439, 5063.126815, 16, 0.95
1200, 15384.047429, 180.691166, 16, 0.95
1200, 12069.409193, 308.408762, 16, 0.95
1300, 18567.854029, 101.107613, 16, 0.95
1300, 17933.971865, 118.611553, 16, 0.95
1300, 18386.015307, 129.689672, 16, 0.95
1300, 19771.431144, 102.711478, 16, 0.95
1300, 10116.711135, 539.700746, 16, 0.95
1400, 21826.635314, 103.612996, 16, 0.95
1400, 21167.903694, 103.565451, 16, 0.95
1400, 19232.222743, 135.539865, 16, 0.95
1400, 20675.832765, 100.940907, 16, 0.95
1400, 24038.126507, 102.447568, 16, 0.95
1500, 12219.826223, 422.444227, 16, 0.95
1500, 11522.808725, 509.525342, 16, 0.95
1500, 18677.133242, 185.020071, 16, 0.95
1500, 20553.376604, 117.403322, 16, 0.95
1500, 21997.578018, 97.716595, 16, 0.95
1600, 21098.447235, 151.666093, 16, 0.95
1600, 19411.216346, 123.086169, 16, 0.95
1600, 12309.784547, 451.671431, 16, 0.95
1600, 19795.543197, 190.105033, 16, 0.95
1600, 19483.854724, 147.329294, 16, 0.95
1700, 23562.605544, 94.609081, 16, 0.95
1700, 20678.598611, 138.755947, 16, 0.95
1700, 21320.542645, 147.527342, 16, 0.95
1700, 22196.415338, 144.353993, 16, 0.95
1700, 18263.479045, 150.799576, 16, 0.95
1800, 20476.950272, 123.898621, 16, 0.95
1800, 11747.327977, 384.39917, 16, 0.95
1800, 17849.081415, 173.796468, 16, 0.95
1800, 17177.466961, 257.407855, 16, 0.95
1800, 15654.967326, 305.946575, 16, 0.95
1900, 9970.952352, 513.337286, 16, 0.95
1900, 16539.584822, 256.863821, 16, 0.95
1900, 18139.027918, 133.639684, 16, 0.95
1900, 8617.629409, 672.635425, 16, 0.95
1900, 20340.277961, 151.859716, 16, 0.95
2000, 27973.229060, 105.06667, 16, 0.95
2000, 21616.033375, 164.58595, 16, 0.95
2000, 21555.451512, 162.411161, 16, 0.95
2000, 3969.302171, 2211.831896, 16, 0.95
2000, 21687.588937, 133.890599, 16, 0.95
2100, 21857.119633, 171.30928, 16, 0.95
2100, 21568.182893, 188.646286, 16, 0.95
2100, 20987.873165, 149.625405, 16, 0.95
2100, 24755.739206, 146.013025, 16, 0.95
2100, 4766.471845, 1509.879966, 16, 0.95
2200, 12871.358001, 365.941407, 16, 0.95
2200, 21366.548276, 173.926559, 16, 0.95
2200, 23414.561358, 151.792967, 16, 0.95
2200, 18582.817959, 152.493508, 16, 0.95
2200, 21019.062013, 164.894704, 16, 0.95
2300, 20494.490577, 167.936173, 16, 0.95
2300, 22173.625568, 159.394488, 16, 0.95
2300, 22165.389277, 149.704565, 16, 0.95
2300, 22956.299115, 149.895039, 16, 0.95
2300, 14118.731563, 387.366809, 16, 0.95
2400, 5400.503109, 1200.403133, 16, 0.95
2400, 25476.143323, 141.773458, 16, 0.95
2400, 5992.634111, 1359.729208, 16, 0.95
2400, 18781.058730, 199.93288, 16, 0.95
2400, 1873.357025, 4897.210136, 16, 0.95
2500, 18263.454862, 240.679195, 16, 0.95
2500, 1873.792242, 5047.212526, 16, 0.95
2500, 6358.045494, 1266.332837, 16, 0.95
2500, 20364.727338, 183.042338, 16, 0.95
2500, 19203.973078, 267.778521, 16, 0.95
2600, 20793.958024, 197.042583, 16, 0.95
2600, 20872.396589, 202.862044, 16, 0.95
2600, 24974.780841, 136.982519, 16, 0.95
2600, 21859.602363, 174.685571, 16, 0.95
2600, 25462.854151, 135.060331, 16, 0.95
2700, 21038.890172, 198.379269, 16, 0.95
2700, 21287.252324, 211.05214, 16, 0.95
2700, 14261.098489, 317.74451, 16, 0.95
2700, 20853.258491, 196.541074, 16, 0.95
2700, 15229.051259, 248.289858, 16, 0.95
2800, 20923.389388, 209.643642, 16, 0.95
2800, 19755.861801, 228.310577, 16, 0.95
2800, 19486.907770, 247.606996, 16, 0.95
2800, 15168.342589, 360.817469, 16, 0.95
2800, 18727.577869, 228.313607, 16, 0.95
2900, 16954.327319, 238.216148, 16, 0.95
2900, 19289.235497, 255.398667, 16, 0.95
2900, 21378.456677, 209.935405, 16, 0.95
2900, 20270.198338, 182.036483, 16, 0.95
2900, 12906.671255, 406.393292, 16, 0.95
3000, 18453.506303, 264.886669, 16, 0.95
3000, 14798.907918, 252.03926, 16, 0.95
3000, 11175.804116, 635.566197, 16, 0.95
3000, 16997.607854, 361.667102, 16, 0.95
3000, 20834.025023, 244.883906, 16, 0.95
100, 22137.612856, 5.096943, 128, 0.05
100, 10805.637994, 5.99838, 128, 0.05
100, 22292.170993, 5.257123, 128, 0.05
100, 19971.542788, 5.901398, 128, 0.05
100, 18532.122091, 6.529276, 128, 0.05
200, 25687.718272, 8.552675, 128, 0.05
200, 527.832336, 15.49943, 128, 0.05
200, 24264.153925, 9.454315, 128, 0.05
200, 26052.940127, 8.233148, 128, 0.05
200, 26950.494978, 10.035297, 128, 0.05
300, 34534.131714, 14.877247, 128, 0.05
300, 27569.268414, 16.1423, 128, 0.05
300, 24991.851594, 20.22699, 128, 0.05
300, 23013.163373, 16.568998, 128, 0.05
300, 4735.606032, 21.590448, 128, 0.05
400, 26078.698826, 34.797279, 128, 0.05
400, 30579.045104, 31.595262, 128, 0.05
400, 32625.440021, 24.591996, 128, 0.05
